e,E,s,k
kline,1703897017475,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098126, 'o': '42181.40', 'c': '42173.70', 'h': '42181.40', 'l': '42171.70', 'v': '18.613', 'n': 330, 'x': False, 'q': '785043.19250', 'V': '6.615', 'Q': '278989.85990', 'B': '0'}"
kline,1703897017666,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189480, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '305.614', 'n': 398, 'x': False, 'q': '704258.08714', 'V': '158.750', 'Q': '365811.40429', 'B': '0'}"
kline,1703897017815,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030024, 'o': '313.980', 'c': '314.100', 'h': '314.160', 'l': '313.950', 'v': '387.57', 'n': 340, 'x': False, 'q': '121712.70290', 'V': '184.05', 'Q': '57801.98870', 'B': '0'}"
kline,1703897018228,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098127, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '18.617', 'n': 331, 'x': False, 'q': '785211.88690', 'V': '6.615', 'Q': '278989.85990', 'B': '0'}"
kline,1703897019140,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030034, 'o': '313.980', 'c': '314.100', 'h': '314.160', 'l': '313.950', 'v': '395.14', 'n': 350, 'x': False, 'q': '124090.43760', 'V': '184.09', 'Q': '57814.55270', 'B': '0'}"
kline,1703897020232,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098129, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '19.391', 'n': 333, 'x': False, 'q': '817854.25330', 'V': '6.615', 'Q': '278989.85990', 'B': '0'}"
kline,1703897020587,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098131, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '19.422', 'n': 335, 'x': False, 'q': '819161.63490', 'V': '6.615', 'Q': '278989.85990', 'B': '0'}"
kline,1703897020877,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189481, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '305.626', 'n': 399, 'x': False, 'q': '704285.73838', 'V': '158.750', 'Q': '365811.40429', 'B': '0'}"
kline,1703897021183,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030036, 'o': '313.980', 'c': '314.110', 'h': '314.160', 'l': '313.950', 'v': '399.54', 'n': 352, 'x': False, 'q': '125472.51310', 'V': '188.49', 'Q': '59196.62820', 'B': '0'}"
kline,1703897021480,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098133, 'o': '42181.40', 'c': '42173.70', 'h': '42181.40', 'l': '42171.70', 'v': '19.445', 'n': 337, 'x': False, 'q': '820131.62800', 'V': '6.618', 'Q': '279116.38100', 'B': '0'}"
